date,time,activity
2025-02-21,12:00,paired the bluetooth leaving the rental car
2025-02-21,12:20,retry exit the rental car area
2025-02-21,13:20,kevin did a great parking
2025-02-21,13:47,local green smoothie hawaiian cane juice
2025-02-21,14:00,spam musubi #1 (musubi and bento iyasume)
2025-02-21,14:05,starbucks iced coffee
2025-02-21,14:30,sit in back of hotel waiting for cleaning
2025-02-21,15:00,go to hotel and drop off and lillian poop
2025-02-21,15:30,take lyft to tonkatsu tomafuji
2025-02-21,16:09,seated tonkatsu tomafuji
2025-02-21,17:08,finish dinner
2025-02-21,18:15,walk around beach
2025-02-21,18:50,go in spa jacuzzi
2025-02-21,19:20,back to room shower
2025-02-22,06:25,leave the hotel
2025-02-22,06:55,scenario viewpoint
2025-02-22,07:05,parking in hanauma bay
2025-02-22,08:05,old man giving information
2025-02-22,08:34,arrived the beach
2025-02-22,10:45,leave beach
2025-02-22,11:23,arrive spitting cave
2025-02-22,11:30,see turtle and whale
2025-02-22,11:55,leave spitting cave drive to lunch
2025-02-22,12:37,better daze coffee
2025-02-22,12:55,checkin sushi restaurant
2025-02-22,14:25,leaving sushi place
2025-02-22,15:00,drive koko crater trail
2025-02-22,15:23,start koko head hike
2025-02-22,15:55,rest
2025-02-22,16:19,another top
2025-02-22,16:30,coming down
2025-02-22,17:05,down parking lot
2025-02-22,17:10,drive to china wall
2025-02-22,17:30,arrive China wall Kevin's first cliff jump
2025-02-22,18:11,leave China wall
2025-02-22,18:54,fail parking arrive tanto gyoza and ramen bar
2025-02-22,19:35,leave restaurant
2025-02-22,20:10,found a lucky street parking
2025-02-22,20:25,arrive hotel
2025-02-22,20:55,green lady speakeasy bar
2025-02-22,21:36,walking around Waikiki
2025-02-22,22:28,back in hotel
2025-02-23,08:30,out the door hotel coffee
2025-02-23,08:40,aloh health bar açaí bowl
2025-02-23,09:09,back at hotel
2025-02-23,10:00,leave hotel and walking to the car
2025-02-23,10:20,drive to foodland kapolei
2025-02-23,11:00,arrive foodland
2025-02-23,11:35,leave foodland to makua beach
2025-02-23,12:20,arrive makua beach picnic
2025-02-23,13:20,go into water
2025-02-23,14:30,leave makua beach
2025-02-23,14:34,makua cave
2025-02-23,14:56,leave and drive to electric beach
2025-02-23,15:30,electric beach
2025-02-23,15:45,tsailing drinking lots of ocean water
2025-02-23,16:35,leave beach drive back to hotel
2025-02-23,17:15,lucky parked
2025-02-23,17:27,back to hotel
2025-02-23,18:00,meet with Kevin's friends and get a ride
2025-02-23,18:18,arrive Tori ton
2025-02-23,18:20,heart moon
2025-02-23,18:45,back to Tori ton
2025-02-23,20:15,back in downtown
2025-02-23,21:00,back to hotel
2025-02-24,07:35,leave hotel to musuibi cafe
2025-02-24,07:47,kevin gets alo cafe smoothie
2025-02-24,07:48,Lillian gets musubi cafe
2025-02-24,08:00,at the car
2025-02-24,08:55,start 3 peaks hike
2025-02-24,09:10,olomana trail head
2025-02-24,11:15,leave drive to costco
2025-02-24,11:49,get gas
2025-02-24,12:05,return car in airport
2025-02-24,12:25,taking "the bus"
2025-02-24,13:00,bobs bar b que
2025-02-24,13:35,McDonald's quite break
2025-02-24,13:45,wait at bus stop
2025-02-24,13:50,on the bus 42 back to hotel
2025-02-24,14:39,get off bus
2025-02-24,14:43,Lillian at Kona coffee purveyors
2025-02-24,14:55,back to hotel
2025-02-24,15:20,go swimming
2025-02-24,16:43,walk to Aisawan massage
2025-02-24,17:00,start massage
2025-02-24,18:00,finish massage walk to kahanamoku beach
2025-02-24,18:30,make it to kahanamoku before sunset
2025-02-24,18:40,walk back to hotel
2025-02-24,18:50,manoa chocolate
2025-02-24,19:10,back to hotel
2025-02-24,19:30,walk to restaurant
2025-02-24,19:40,arrive at restaurant suntory
2025-02-24,22:20,back to hotel
2025-02-25,07:00,wake up
2025-02-25,07:20,out the door
2025-02-25,07:25,mcdonalds
2025-02-25,08:00,wait for shuttle for kayak
2025-02-25,09:00,arrive shop
2025-02-25,09:30,leave to kayaks
2025-02-25,15:00,leaving kayak rental place
2025-02-25,15:45,dfs market lillian buy cookies
2025-02-25,16:00,rest and shower at hotel
2025-02-25,19:54,leave hotel
2025-02-25,20:00,arrive sam's kitchen
2025-02-25,20:45,leave restaurant and walking around
2025-02-25,21:14,back to hotel
2025-02-26,07:45,leave hotel to get breakfast
2025-02-26,07:55,kono's breakfast burrito
2025-02-26,08:15,eat from hotel
2025-02-26,09:13,uber to diamond head
2025-02-26,09:30,start hike
2025-02-26,10:05,reach the summit
2025-02-26,10:30,hike is done
2025-02-26,10:40,back in uber to hotel
2025-02-26,11:04,checkout hotel going to ono seafood
2025-02-26,11:20,eat at ono seafood
2025-02-26,11:53,Safeway
2025-02-26,12:05,Leonard's bakery
2025-02-26,12:50,rest in hawaii cat cafe
2025-02-26,15:30,meet sarah andrew
2025-02-26,15:50,waikiki beach with ethan and lena
2025-02-26,17:15,leave beach
2025-02-26,17:30,hanging out at Hyatt centric
2025-02-26,17:58,leaving hyatt
2025-02-26,18:12,ginza bairin
2025-02-26,19:50,back at hotel
2025-02-26,20:30,uber to airport
