date,time,activity
2025-05-23,09:50,Landed Munich
2025-05-23,10:44,Buy 1 day group bus ticket
2025-05-23,10:50,On S train to Marienplatz
2025-05-23,11:47,Arrive Marienplatz
2025-05-23,12:00,Bell
2025-05-23,12:15,Rimowa checked
2025-05-23,12:45,Longchamp
2025-05-23,13:29,Matcha Rina
2025-05-23,14:45,Zwilling
2025-05-23,14:55,Ruffinihaus
2025-05-23,15:05,Asamkirche church
2025-05-23,15:10,Haribo
2025-05-23,15:35,Viktualienmarkt
2025-05-23,16:00,Ratskeller
2025-05-23,17:05,Rimowa pick up
2025-05-23,17:18,S train back to airport
2025-05-23,18:00,Back to the airport
2025-05-23,18:50,DFS
2025-05-23,19:15,At the gate
2025-05-23,21:20,Flight to CTA
2025-05-23,23:26,Landed
2025-05-23,23:45,Wait for checked bags
2025-05-23,23:55,Walking to hotel
2025-05-24,00:15,Checked in hotel
2025-05-24,08:20,Checked out and checked bags in hotel
2025-05-24,08:35,"Picked up by tour, stop by McDonald’s"
2025-05-24,09:08,Heading to Mt. Etna
2025-05-24,10:15,Lava cave - Grotta dei Tre Livelli
2025-05-24,11:00,Mt. Etna visitor center
2025-05-24,11:35,Taking cable car
2025-05-24,11:50,Arrive 2500m
2025-05-24,11:52,Taking 4x4
2025-05-24,12:15,Hike up summit
2025-05-24,13:25,Back to the cable car
2025-05-24,13:36,Take cable car down
2025-05-24,14:00,"Back to the car, leaving for local farm tasting"
2025-05-24,14:33,"At local winery, Enoteca dell’Etna"
2025-05-24,16:15,Heading back to hotel
2025-05-24,17:27,"Back to hotel, pick up luggage"
2025-05-24,17:35,Rental car
2025-05-24,18:05,Manchi driving to Taormina
2025-05-24,19:24,"Long detour, arrive Airbnb"
2025-05-24,20:25,Snacking in Airbnb
2025-05-24,21:07,Walk to restaurant
2025-05-24,21:30,Sit in restaurant - Bell'Assai
2025-05-24,23:38,Walk back to Airbnb
2025-05-24,23:45,Back to the Airbnb
2025-05-25,11:00,Walk around beach
2025-05-25,11:30,Buy coffee and breakfast - Ai Paladini Lounge Bar
2025-05-25,11:45,Brunch in Airbnb
2025-05-25,13:10,Walking to Isola Bella
2025-05-25,14:10,Going in Isola Bella
2025-05-25,15:06,Late lunch - Ai Paladini Lounge Bar (not recommended)
2025-05-25,16:15,Back to Airbnb for a quick change
2025-05-25,16:30,Take cable car to old town
2025-05-25,16:42,Arrive old town
2025-05-25,16:53,Porta Messina
2025-05-25,17:10,Teatro Antico di Taormina
2025-05-25,18:00,Walk around old town
2025-05-25,19:00,Le Bar Louis Vuitton
2025-05-25,20:20,Vineria Modì
