date,time,activity
2023-11-02,04:30,Arrive hotel Casa Condesa Ametlan 84
2023-11-02,06:00,"Tacos ""El Gato Volador"""
2023-11-02,07:00,Panadería Rosetta
2023-11-02,08:30,Churrería El Moro
2023-11-02,09:45,OXXO
2023-11-02,10:00,La Ciudadela Artisan Market
2023-11-02,11:30,Walk to Constitution Plaza
2023-11-02,12:30,Cantina makeup
2023-11-02,13:30,Arrive Constitution Plaza
2023-11-02,14:30,Back to hotel - check-in
2023-11-02,15:15,Day of the Dead parade
2023-11-02,16:15,Meet up with Day of the Dead in Mixquic tour
2023-11-02,19:30,Arrive in Mixquic
2023-11-02,23:00,Leave Mixquic
2023-11-03,02:00,Arrive in Mexico City
2023-11-03,11:00,Uber to Frida Kahlo Museum
2023-11-03,11:15,Arrive Frida Kahlo Museum
2023-11-03,13:07,Coyoacan local market
2023-11-03,13:27,Quesadillas Carmelita Coyoacan
2023-11-03,13:45,Carnitas El Charro
2023-11-03,14:15,Fresh juice
2023-11-03,14:30,Cafe El Jarocho
2023-11-03,15:20,Street taco pop-up
2023-11-03,15:40,Mask Museum
2023-11-03,17:30,La Fiera Librería
2023-11-03,18:00,Uber to Constitution Plaza
2023-11-03,18:20,Arrive Constitution Plaza
2023-11-03,19:00,Meet up with Lillian’s friends
2023-11-03,19:55,Tacos La Chula Juárez
2023-11-03,20:11,Change to Cancino Havre
2023-11-03,21:38,Walk to Rayo
2023-11-03,22:03,Rayo bar is full
2023-11-03,22:19,Gin Gin
2023-11-04,00:05,Back to hotel
2023-11-04,08:00,Rutas Cafe
2023-11-04,08:00,Uber to meet-up point at Cafe Miga
2023-11-04,08:15,Arrive Cafe Miga
2023-11-04,08:25,Bus departs
2023-11-04,08:46,Arrive Tlatelolco
2023-11-04,09:28,Leaving Tlatelolco
2023-11-04,09:45,Basilica of Our Lady of Guadalupe
2023-11-04,10:45,Back with tour guide Lily
2023-11-04,11:00,Leaving to Tlacaelel
2023-11-04,11:45,Arrive - tequila tasting
2023-11-04,13:00,Lunch at Tlacaelel
2023-11-04,14:02,Leaving to Teotihuacan
2023-11-04,14:12,Arrive Teotihuacan
2023-11-04,16:10,Leaving Teotihuacan back to Mexico City
2023-11-04,17:10,Back to Cafe Miga
2023-11-04,17:35,Casa Bosques - walking around Roma
2023-11-04,18:15,Utilitario Mexicano
2023-11-04,18:40,Quentin
2023-11-04,19:55,El Tizoncito
2023-11-04,20:45,Walmart
2023-11-04,21:30,Back to hotel
2023-11-05,10:05,Walk to Tomasa Condesa
2023-11-05,10:15,Uber to Museo Nacional de Antropología
2023-11-05,10:30,Arrive Anthropology Museum
2023-11-05,12:10,Museo Tamayo Arte Contemporáneo
2023-11-05,13:00,Museum store shopping
2023-11-05,14:00,Uber to Rosetta
2023-11-05,14:27,Arrive Rosetta
2023-11-05,16:35,Walking around Roma
2023-11-05,16:40,Le Labo
2023-11-05,17:15,El Liquor Store
2023-11-05,18:10,Cardinal Casa de Café
2023-11-05,19:22,Taquería Orinoco (Roma Norte)
2023-11-05,19:55,Licorería Limantour
2023-11-05,21:55,Sit in The Handshake
2023-11-05,23:40,Leave bar
2023-11-06,00:00,Back to hotel
2023-11-06,11:00,Walking to Mendl Delicatessen
2023-11-06,11:20,Sit in Mendl
2023-11-06,12:30,Walmart
2023-11-06,12:45,Local market juice and back to hotel
2023-11-06,12:55,Uber to National Art Museum (MUNAL)
2023-11-06,13:20,National Art Museum
2023-11-06,15:30,Palacio de Bellas Artes
2023-11-06,16:08,Stop by worst bakery
2023-11-06,16:25,Mexico City Metropolitan Cathedral
2023-11-06,17:00,Pastelería Ideal
2023-11-06,17:10,Uber to Mi Compa Chava
2023-11-06,17:35,Arrive Mi Compa Chava
2023-11-06,19:05,Walking to Rayo
2023-11-06,19:25,Sit in Rayo
2023-11-06,23:15,Back to hotel
2023-11-07,04:40,Pickup from hotel for hot spring tour
2023-11-07,08:00,Arrive Grutas Tolantongo
2023-11-07,09:30,Leave hot spring
2023-11-07,09:45,Breakfast at Restaurante Las Palomas
2023-11-07,10:30,Explore cave and river
2023-11-07,13:15,Leave
2023-11-07,15:20,5 pesos baños break
2023-11-07,17:10,Back to hotel
2023-11-07,17:13,Walk to Birria El Jarocho
2023-11-07,17:30,Sit at Birria El Jarocho
2023-11-07,17:45,Walk to Taquería El Jarocho
2023-11-07,17:50,Sit at Taquería El Jarocho
2023-11-07,18:30,Walk around and shop
2023-11-07,19:23,Back to hotel
2023-11-08,10:15,Walk to Fuego & Café
2023-11-08,11:50,Uber to Mercado Sonora
2023-11-08,12:10,Arrive at Mercado Sonora
2023-11-08,13:00,Market street food vendor
2023-11-08,13:30,Walk to find a better spot to call Uber
2023-11-08,13:45,Decide to walk to Templo Mayor Museum
2023-11-08,14:05,Arrive at Templo Mayor Museum
2023-11-08,15:40,Leave Templo Mayor Museum
2023-11-08,16:15,Uber to El Hidalguense
2023-11-08,17:00,Sit at El Hidalguense
2023-11-08,18:00,Casa Ananda Vintage Boutique
2023-11-08,18:30,Forte
2023-11-08,20:25,Matuche
2023-11-08,22:10,Back to hotel
2023-11-09,10:00,Walk to El Pescadito Tacos
2023-11-09,10:05,Sit at El Pescadito Tacos
2023-11-09,10:40,Tomasa Condesa
2023-11-09,11:15,Walking around Condesa
2023-11-09,12:20,Tugurio Boutique
2023-11-09,12:45,Back to hotel to put away items
2023-11-09,14:00,La Polar
2023-11-09,14:50,Museo Soumaya
2023-11-09,17:30,Costco
2023-11-09,18:50,Esquina Común
2023-11-09,21:15,Elotes y Esquites Los Juniors
2023-11-09,21:35,Back to hotel
2023-11-10,10:25,Checkout hotel
2023-11-10,10:55,Cumbe
2023-11-10,11:55,Local farmer’s market
2023-11-10,13:15,Walk back to hotel
2023-11-10,13:57,Head to airport
