date,time,activity
2023-09-26,09:00,Started the day with breakfast at Wild Rabbit.
2023-09-26,10:15,Explored Capitol Reef National Park.
2023-09-26,11:54,Hiked the Hickman Bridge Trail.
2023-09-26,14:43,Arrived at Canyonlands National Park.
2023-09-26,15:37,Enjoyed the views at Shafer Canyon Overlook and Shafer Canyon Viewpoint.
2023-09-26,16:04,Explored Upheaval Dome.
2023-09-26,17:49,Took in the scenic beauty at Green River Overlook.
2023-09-26,18:20,Visited Grand View Point and Orange Cliff Overlook.
2023-09-26,18:00,Checked out Center Reserve Arch Entry and experienced a mesmerizing Mesa Arch sunset.
2023-09-26,20:05,Had dinner at Arches Thai.
2023-09-26,21:55,Checked into your Airbnb.
2023-09-27,09:30,Started the day with breakfast at your hotel.
2023-09-27,11:08,Visited Arches Visitor Center.
2023-09-27,12:30,Explored the Delicate Arch Trail and its lower viewpoint.
2023-09-27,14:40,Enjoyed the Landscape Arch and Devil's Garden Trail.
2023-09-27,17:55,Headed back to the hotel.
2023-09-27,18:12,Had dinner at The Spoke on Center.
2023-09-27,19:15,Explored Moab downtown.
2023-09-27,21:26,Relaxed in the hotel Jacuzzi.
2023-09-27,21:57,Observed stars in the national park.
2023-09-27,22:50,Returned to the hotel for some relaxation.
2023-09-28,07:35,Started the day with breakfast at your hotel.
2023-09-28,08:10,Visited Arches National Park Visitor Center.
2023-09-28,09:52,Explored the Windows and Double Arches.
2023-09-28,11:27,Hiked to Sand Dune Arch and enjoyed the views at Fiery Furnaces Viewpoint and Salt Valley Viewpoints.
2023-09-28,12:26,Started your journey back to Salt Lake City.
2023-09-28,14:20,Had a meal at Cowboys Kitchen.
2023-09-28,15:48,Enjoyed a break at The Coffee Shop.
2023-09-28,18:22,Arrived at Great Salt Lake State Park in Salt Lake City.
2023-09-28,19:24,Explored Salt Lake City downtown.
2023-09-28,20:46,Spent time in the Delta Lounge before departing for your next destination.
